,ds,symbol,close,volume,ma50,ma200
7146,2018-05-11,JNJ,127.24,5716794.0,128.4288,134.64675
7147,2018-05-14,JNJ,126.06,6101777.0,128.3736,134.62290000000002
7148,2018-05-15,JNJ,125.13,5875738.0,128.2804,134.58929999999998
7149,2018-05-16,JNJ,125.35,3819912.0,128.22299999999998,134.55245000000002
7150,2018-05-17,JNJ,123.85,6473433.0,128.1192,134.50914999999998
7151,2018-05-18,JNJ,124.24,5433973.0,127.9628,134.46955
7152,2018-05-21,JNJ,123.72,5558776.0,127.7612,134.4214
7153,2018-05-22,JNJ,122.91,7172696.0,127.5668,134.37005
7154,2018-05-23,JNJ,123.45,4940933.0,127.3488,134.32299999999998
7155,2018-05-24,JNJ,122.25,6923637.0,127.1474,134.2729
7156,2018-05-25,JNJ,121.47,4594905.0,126.9156,134.2141
7157,2018-05-29,JNJ,119.4,9822057.0,126.63,134.14565
7158,2018-05-30,JNJ,120.97,6423723.0,126.44460000000001,134.085
7159,2018-05-31,JNJ,119.62,10337912.0,126.2128,134.0157
7160,2018-06-01,JNJ,121.26,5741111.0,126.0142,133.95510000000002
7161,2018-06-04,JNJ,121.95,4853082.0,125.90559999999999,133.894
7162,2018-06-05,JNJ,121.48,5125457.0,125.83319999999999,133.83620000000002
7163,2018-06-06,JNJ,122.79,6799643.0,125.74119999999999,133.787
7164,2018-06-07,JNJ,123.33,7414682.0,125.6636,133.7364
7165,2018-06-08,JNJ,124.06,6208287.0,125.5958,133.6832
7166,2018-06-11,JNJ,122.66,5571509.0,125.48599999999999,133.6325
7167,2018-06-12,JNJ,122.54,5227312.0,125.4456,133.58075
7168,2018-06-13,JNJ,122.63,5837019.0,125.3312,133.53549999999998
7169,2018-06-14,JNJ,122.41,5239395.0,125.17119999999998,133.48885
7170,2018-06-15,JNJ,122.61,13174511.0,125.0092,133.44084999999998
7171,2018-06-18,JNJ,121.32,6787432.0,124.87360000000001,133.3921
7172,2018-06-19,JNJ,122.57,8572431.0,124.73539999999998,133.3431
7173,2018-06-20,JNJ,122.04,6277286.0,124.57119999999999,133.29815
7174,2018-06-21,JNJ,121.45,4417264.0,124.4076,133.2559
7175,2018-06-22,JNJ,122.84,10305408.0,124.2558,133.21675000000002
7176,2018-06-25,JNJ,122.59,8170628.0,124.09519999999999,133.16875
7177,2018-06-26,JNJ,122.35,5496660.0,123.90700000000001,133.1256
7178,2018-06-27,JNJ,121.61,5666141.0,123.72840000000001,133.0676
7179,2018-06-28,JNJ,122.0,5297127.0,123.61399999999999,133.01445
7180,2018-06-29,JNJ,121.34,7728660.0,123.4898,132.9589
7181,2018-07-02,JNJ,121.58,5481426.0,123.3882,132.8959
7182,2018-07-03,JNJ,122.71,4248178.0,123.3058,132.83720000000002
7183,2018-07-05,JNJ,125.0,7319252.0,123.28200000000001,132.7853
7184,2018-07-06,JNJ,125.75,7312443.0,123.26180000000001,132.73795
7185,2018-07-09,JNJ,126.05,6706247.0,123.2226,132.7021
7186,2018-07-10,JNJ,127.38,5076643.0,123.20479999999999,132.68025
7187,2018-07-11,JNJ,126.24,4827515.0,123.1998,132.65449999999998
7188,2018-07-12,JNJ,127.76,6199049.0,123.23479999999999,132.63745
7189,2018-07-13,JNJ,125.93,8252202.0,123.28339999999999,132.6124
7190,2018-07-16,JNJ,124.69,7314548.0,123.3166,132.58710000000002
7191,2018-07-17,JNJ,129.11,12858946.0,123.415,132.58530000000002
7192,2018-07-18,JNJ,127.8,7152460.0,123.4992,132.57425
7193,2018-07-19,JNJ,125.94,5984645.0,123.5658,132.54785
7194,2018-07-20,JNJ,125.85,5862642.0,123.6126,132.5166
7195,2018-07-23,JNJ,126.63,4631214.0,123.6382,132.4853
7196,2018-07-24,JNJ,129.36,7159186.0,123.6806,132.46615
7197,2018-07-25,JNJ,128.62,6539201.0,123.73179999999998,132.44315
7198,2018-07-26,JNJ,130.28,7641107.0,123.83480000000002,132.4273
7199,2018-07-27,JNJ,131.55,6736324.0,123.95880000000001,132.41555
7200,2018-07-30,JNJ,132.17,11013535.0,124.12519999999999,132.39315
7201,2018-07-31,JNJ,132.52,7598987.0,124.2908,132.3716
7202,2018-08-01,JNJ,132.64,5771276.0,124.4692,132.35265
7203,2018-08-02,JNJ,131.25,6563676.0,124.63600000000001,132.3283
7204,2018-08-03,JNJ,131.95,6498748.0,124.806,132.2841
7205,2018-08-06,JNJ,132.02,5840255.0,125.00139999999999,132.2408
7206,2018-08-07,JNJ,131.46,4664635.0,125.20119999999999,132.1879
7207,2018-08-08,JNJ,131.17,3721871.0,125.4366,132.13174999999998
7208,2018-08-09,JNJ,131.2,4058262.0,125.64119999999998,132.06965
7209,2018-08-10,JNJ,130.75,4324080.0,125.8638,132.0152
7210,2018-08-13,JNJ,130.22,3778027.0,126.04299999999999,131.9545
7211,2018-08-14,JNJ,129.5,4543502.0,126.194,131.89294999999998
7212,2018-08-15,JNJ,130.43,5377774.0,126.373,131.8362
7213,2018-08-16,JNJ,132.48,7861500.0,126.5668,131.7986
7214,2018-08-17,JNJ,134.47,6701306.0,126.7896,131.7739
7215,2018-08-20,JNJ,136.88,7935002.0,127.046,131.7584
7216,2018-08-21,JNJ,135.35,5832431.0,127.29979999999999,131.7355
7217,2018-08-22,JNJ,134.61,4688719.0,127.5412,131.70815000000002
7218,2018-08-23,JNJ,135.11,5057630.0,127.7908,131.6849
7219,2018-08-24,JNJ,135.95,4792736.0,128.0616,131.6658
7220,2018-08-27,JNJ,134.92,4326036.0,128.3078,131.63379999999998
7221,2018-08-28,JNJ,134.32,6037618.0,128.5678,131.60365
7222,2018-08-29,JNJ,134.86,4648828.0,128.8136,131.58015
7223,2018-08-30,JNJ,134.95,4822540.0,129.0718,131.55610000000001
7224,2018-08-31,JNJ,134.69,6139598.0,129.3366,131.53209999999999
7225,2018-09-04,JNJ,133.72,4406817.0,129.5542,131.5052
7226,2018-09-05,JNJ,135.86,6174920.0,129.8196,131.49015
7227,2018-09-06,JNJ,136.87,6562245.0,130.11,131.4845
7228,2018-09-07,JNJ,137.32,6375301.0,130.4242,131.48145
7229,2018-09-10,JNJ,137.21,4892191.0,130.7284,131.4758
7230,2018-09-11,JNJ,138.51,7857179.0,131.0718,131.4819
7231,2018-09-12,JNJ,139.36,6767731.0,131.4274,131.48865
7232,2018-09-13,JNJ,139.89,6456237.0,131.77100000000002,131.4976
7233,2018-09-14,JNJ,139.49,4534875.0,132.0608,131.49495
7234,2018-09-17,JNJ,139.96,5295717.0,132.345,131.4957
7235,2018-09-18,JNJ,140.54,4581245.0,132.63479999999998,131.50175
7236,2018-09-19,JNJ,140.46,5050042.0,132.8964,131.50415
7237,2018-09-20,JNJ,141.98,5019368.0,133.21120000000002,131.519
7238,2018-09-21,JNJ,142.88,13283563.0,133.5136,131.53505
7239,2018-09-24,JNJ,140.47,6708305.0,133.80440000000002,131.53209999999999
7240,2018-09-25,JNJ,138.64,7983395.0,134.0834,131.52525
7241,2018-09-26,JNJ,138.16,7133479.0,134.2644,131.5131
7242,2018-09-27,JNJ,138.22,6450584.0,134.4728,131.4985
7243,2018-09-28,JNJ,138.17,6638584.0,134.71740000000003,131.47635
7244,2018-10-01,JNJ,139.69,4873283.0,134.9942,131.46035
7245,2018-10-02,JNJ,140.48,6439160.0,135.2712,131.4545
7246,2018-10-03,JNJ,139.03,5411937.0,135.46460000000002,131.43734999999998
7247,2018-10-04,JNJ,139.35,4738856.0,135.6792,131.42510000000001
7248,2018-10-05,JNJ,139.1,4309373.0,135.85559999999998,131.4117
7249,2018-10-08,JNJ,139.39,5174217.0,136.01239999999999,131.40285
7250,2018-10-09,JNJ,139.2,4475406.0,136.15300000000002,131.39355
7251,2018-10-10,JNJ,137.73,7265662.0,136.25719999999998,131.3816
7252,2018-10-11,JNJ,133.84,11603195.0,136.28119999999998,131.35035
7253,2018-10-12,JNJ,133.87,6998363.0,136.3336,131.31685000000002
7254,2018-10-15,JNJ,133.95,6398851.0,136.37359999999998,131.28379999999999
7255,2018-10-16,JNJ,136.56,9592893.0,136.4644,131.268
7256,2018-10-17,JNJ,139.46,8261220.0,136.6244,131.26915
7257,2018-10-18,JNJ,139.5,7584363.0,136.791,131.26385
7258,2018-10-19,JNJ,139.05,5925514.0,136.948,131.25635
7259,2018-10-22,JNJ,138.68,4864602.0,137.1066,131.2412
7260,2018-10-23,JNJ,138.93,8282924.0,137.2808,131.22639999999998
7261,2018-10-24,JNJ,137.47,8279271.0,137.4402,131.19305
7262,2018-10-25,JNJ,138.47,9720735.0,137.601,131.16555
7263,2018-10-26,JNJ,136.97,11371901.0,137.6908,131.12644999999998
7264,2018-10-29,JNJ,137.55,6783200.0,137.7524,131.0854
7265,2018-10-30,JNJ,140.75,9646253.0,137.8298,131.05485
7266,2018-10-31,JNJ,139.99,9969060.0,137.9226,131.0199
7267,2018-11-01,JNJ,140.82,6913463.0,138.0468,130.98940000000002
7268,2018-11-02,JNJ,140.68,7673355.0,138.1582,130.95600000000002
7269,2018-11-05,JNJ,142.2,5601487.0,138.2832,130.9263
7270,2018-11-06,JNJ,142.57,5799115.0,138.4362,130.93
7271,2018-11-07,JNJ,144.75,7173596.0,138.6448,130.9434
7272,2018-11-08,JNJ,145.3,5497285.0,138.8536,130.9479
7273,2018-11-09,JNJ,145.34,5343847.0,139.0614,130.94795
7274,2018-11-12,JNJ,145.62,7013727.0,139.28,130.95765
7275,2018-11-13,JNJ,144.68,7432638.0,139.4992,130.9689
7276,2018-11-14,JNJ,144.25,6433090.0,139.667,130.9992
7277,2018-11-15,JNJ,144.5,6658419.0,139.81959999999998,131.0216
7278,2018-11-16,JNJ,145.99,8494421.0,139.993,131.06315
7279,2018-11-19,JNJ,147.73,8714648.0,140.2034,131.14985000000001
7280,2018-11-20,JNJ,146.45,8938027.0,140.3622,131.22295
7281,2018-11-21,JNJ,141.99,10276260.0,140.41479999999999,131.2758
7282,2018-11-23,JNJ,142.23,3405287.0,140.4616,131.35514999999998
7283,2018-11-26,JNJ,141.37,7591079.0,140.4992,131.41435
7284,2018-11-27,JNJ,143.22,5962130.0,140.5644,131.4791
7285,2018-11-28,JNJ,146.44,8411783.0,140.6824,131.5615
7286,2018-11-29,JNJ,145.85,6900546.0,140.7902,131.6424
7287,2018-11-30,JNJ,146.9,12517648.0,140.8886,131.72075
7288,2018-12-03,JNJ,146.21,8826359.0,140.9552,131.78605
7289,2018-12-04,JNJ,146.03,9803565.0,141.0664,131.86185
7290,2018-12-06,JNJ,145.91,11572509.0,141.2118,131.94185
7291,2018-12-07,JNJ,145.43,9444659.0,141.3572,132.01945
7292,2018-12-10,JNJ,145.26,6848641.0,141.498,132.08565000000002
7293,2018-12-11,JNJ,146.5,9857462.0,141.66459999999998,132.1578
7294,2018-12-12,JNJ,147.1,8869345.0,141.8128,132.23495
7295,2018-12-13,JNJ,147.84,6008493.0,141.96,132.32475
7296,2018-12-14,JNJ,133.0,58140215.0,141.83939999999998,132.35334999999998
7297,2018-12-17,JNJ,129.14,36934665.0,141.6352,132.35495
