ds,AAPL,GOOG,JNJ,KO,MSFT,NVDA,PG,TSLA
2021-05-18,124.85,115.1715,170.45,54.34,243.08,140.1575,136.32,192.6233
2021-05-19,124.69,115.4355,170.08,54.17,243.12,140.6575,136.6,187.82
2021-05-20,127.31,117.8045,171.07,54.65,246.48,146.125,138.0,195.5933
2021-05-21,125.43,117.255,170.96,54.62,245.17,149.9175,138.0,193.6267
2021-05-24,127.1,120.3335,170.55,54.8,250.78,156.12,137.96,202.1467
2021-05-25,126.9,120.4535,170.08,54.79,251.72,156.4775,138.43,201.5633
2021-05-26,126.85,121.6765,169.07,55.03,251.49,157.0,138.12,206.3767
2021-05-27,125.28,120.1255,168.81,55.49,249.31,154.88,134.98,210.2833
2021-05-28,124.61,120.578,169.25,55.29,249.68,162.445,134.85,208.4067
2021-06-01,124.28,121.4905,165.53,55.28,247.4,162.645,132.88,207.9667
2021-06-02,125.06,121.064,166.2,55.5,247.3,167.7825,133.46,201.7067
2021-06-03,123.54,120.2305,166.04,55.64,245.71,169.6975,135.85,190.9467
2021-06-04,125.89,122.588,165.97,56.24,250.79,175.7825,135.95,199.6833
2021-06-07,125.9,123.3045,164.84,56.04,253.81,176.19,136.42,201.71
2021-06-08,126.74,124.1425,163.39,55.65,252.57,174.57,134.84,201.1967
2021-06-09,127.13,124.57,165.59,55.48,253.59,173.5825,134.79,199.5933
2021-06-10,126.11,126.08,167.08,55.91,257.24,174.25,135.79,203.3733
2021-06-11,127.35,125.6965,164.96,56.16,257.89,178.2525,134.86,203.2967
2021-06-14,130.48,126.352,165.37,55.55,259.89,180.1875,134.91,205.8967
2021-06-15,129.64,126.033,164.49,55.41,258.36,177.885,134.65,199.7867
2021-06-16,130.15,125.6965,164.43,54.67,257.38,178.1025,132.78,201.6233
2021-06-17,131.79,126.371,165.22,54.95,260.9,186.5725,133.99,205.5333
2021-06-18,130.46,125.5675,161.98,53.77,259.43,186.3875,132.03,207.77
2021-06-21,132.3,126.455,163.84,54.36,262.63,184.2725,133.07,206.9433
2021-06-22,133.98,126.9995,163.62,54.56,265.51,188.8675,133.12,207.9033
2021-06-23,133.7,126.4615,162.63,54.12,265.275,190.5725,132.93,218.8567
2021-06-24,133.41,127.282,163.37,54.39,266.69,192.055,133.02,226.6067
2021-06-25,133.11,126.995,164.21,54.32,265.02,190.31,134.92,223.9567
2021-06-28,134.78,126.8195,164.02,54.26,268.72,199.85,135.32,229.5733
2021-06-29,136.33,126.0185,164.03,53.86,271.4,200.2675,134.4,226.92
2021-06-30,136.96,125.316,164.74,54.11,270.9,200.025,134.93,226.5667
2021-07-01,137.27,126.3685,165.96,53.96,271.6,202.12,135.24,225.9733
2021-07-02,139.96,128.719,168.98,54.18,277.65,204.87,135.9,226.3
2021-07-06,142.02,129.771,167.97,53.88,277.66,206.985,135.98,219.86
2021-07-07,144.57,130.0775,169.41,54.32,279.93,203.7175,137.0,214.8833
